Year,Buses and coaches,"Cars, vans and taxis",Motorcycles,Bicycles,Rail
1990,46,588,6,5,40
1991,44,582,6,5,39
1992,43,583,5,5,38
1993,44,607,4,4,37
1994,44,614,4,4,36
1995,43,618,4,4,37
1996,43,622,4,4,39
1997,44,632,4,4,42
1998,45,636,4,4,44
1999,46,642,5,4,47
2000,47,639,5,4,47
2001,47,651,5,4,47
2002,47,673,5,4,48
2003,47,667,6,5,49
2004,41,670,5,4,51
2005,42,665,6,4,52
2006,40,670,5,5,55
2007,41,672,6,4,59
2008,43,664,5,5,61
2009,44,659,5,5,61
2010,45,644,5,5,65
2011,43,645,5,5,68
2012,42,649,4,5,70
2013,40,645,5,5,72
2014,40,659,5,6,75
2015,39,662,5,5,78
2016,34,674,5,5,80
2017,38,679,5,6,81
2018,35,687,5,6,82
2019,33,698,5,6,80
2020,14,505,3,9,16
2021,18,566,4,7,47
